date,text,img_path
18 Jul 23,"PROJECT PAR PAR
Colin Mcnally
6B+. You graded this problem 6B+.
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/PROJECT_PAR_PAR.png
18 Jul 23,"ONE SUMMER EASY
Ben Moon
6C+. You graded this problem 6C+.
Feet follow hands
Project (3)
40° MoonBoard",./images/ONE_SUMMER_EASY.png
18 Jul 23,"DANIELSAN
Jack Folkes
6C+. You graded this problem 6C+.
Feet follow hands
Project (3)
40° MoonBoard",./images/DANIELSAN.png
13 Jul 23,"POGO
luke hutcheson
7A. You graded this problem 7A.
Feet follow hands
You rated this problem
2nd try
40° MoonBoard",./images/POGO.png
02 Jul 23,"LORD REIDUN
Chad Jensen
6B+. You graded this problem 6B+.
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/LORD_REIDUN.png
02 Jul 23,"BACK THREE-SOME: 3EA HAND
Will Crowther
6B+. You graded this problem 6B+.
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/BACK_THREE-SOME:_3EA_HAND.png
02 Jul 23,"AMBERJACK
Bryant Noble
6B+. You graded this problem 6B+.
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/AMBERJACK.png
20 Jun 23,"JUST ANOTHER DAY
Reuben Mardan
6C
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/JUST_ANOTHER_DAY.png
20 Jun 23,"ATAUALPA
Ale Alekos
6C
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/ATAUALPA.png
20 Jun 23,"LE UOVA SODE
Ale Alekos
6C
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/LE_UOVA_SODE.png
20 Jun 23,"RIGHTNESS, PT.3
Alex Arroyo
6C+. You graded this problem 6C.
Feet follow hands
You rated this problem
3rd try
40° MoonBoard","./images/RIGHTNESS,_PT.3.png"
20 Jun 23,"DANIELSAN
Jack Folkes
6C+. You graded this problem 6C+.
Feet follow hands
Project (3)
40° MoonBoard",./images/DANIELSAN.png
17 Jun 23,"POGO
luke hutcheson
7A. You graded this problem 7A.
Feet follow hands
Project (3)
40° MoonBoard",./images/POGO.png
17 Jun 23,"POGO
luke hutcheson
7A. You graded this problem 7A.
Feet follow hands
You rated this problem
more than 3 tries (5)
40° MoonBoard",./images/POGO.png
17 Jun 23,"KEMAL'S VAR
Garry Williams
7A. You graded this problem 7A.
Feet follow hands
Project (3)
40° MoonBoard",./images/KEMAL'S_VAR.png
15 Jun 23,"TOODLE
RAMRAM
6B+. You graded this problem 6B+.
Feet follow hands
Project (3)
40° MoonBoard",./images/TOODLE.png
15 Jun 23,"GRAB THE D
Martin Heald
6C. You graded this problem 6C.
Feet follow hands
Project (3)
40° MoonBoard",./images/GRAB_THE_D.png
15 Jun 23,"HAVE FUN 3P0
lifeframed_jw
6B+. You graded this problem 6B+.
Feet follow hands
You rated this problem
2nd try
40° MoonBoard",./images/HAVE_FUN_3P0.png
13 Jun 23,"SLOWLY
redflavor
6B. You graded this problem 6B+.
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/SLOWLY.png
13 Jun 23,"WARMUP FOOT CUT
RJtrials
6B. You graded this problem 6B+.
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/WARMUP_FOOT_CUT.png
13 Jun 23,"WARM UP FINGAS VERSION 2
Micur
6B+. You graded this problem 6B+.
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/WARM_UP_FINGAS_VERSION_2.png
13 Jun 23,"GRAB THE D
Martin Heald
6C. You graded this problem 6C.
Feet follow hands
Project (3)
40° MoonBoard",./images/GRAB_THE_D.png
13 Jun 23,"1817
Randall Baum
6C. You graded this problem 6C.
Feet follow hands
Project (3)
40° MoonBoard",./images/1817.png
13 Jun 23,"HORSESHOE
Ravioli Biceps
6C. You graded this problem 6C.
Feet follow hands
Project (2)
40° MoonBoard",./images/HORSESHOE.png
07 Jun 23,"LINKSVERSIFFTE SCH
Furie
6B+. You graded this problem 6B+.
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/LINKSVERSIFFTE_SCH.png
01 Jun 23,"DRAWING BOARD
Kyle Knapp
6B+. You graded this problem 6B+.
Feet follow hands
You rated this problem
2nd try
40° MoonBoard",./images/DRAWING_BOARD.png
01 Jun 23,"UH-HUH WRONG
danhult
6B+. You graded this problem 6B+.
Feet follow hands
Project (2)
40° MoonBoard",./images/UH-HUH_WRONG.png
01 Jun 23,"YOURS
Felicity Holt
6C. You graded this problem 6C.
Feet follow hands
You rated this problem
2nd try
40° MoonBoard",./images/YOURS.png
01 Jun 23,"ELANOMOUS
Andrew Smythe
6C. You graded this problem 6C.
Feet follow hands
Project (2)
40° MoonBoard",./images/ELANOMOUS.png
30 May 23,"272966
Mystery Frog Man
6B+. You graded this problem 6B+.
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/272966.png
30 May 23,"(*)(*)FAKE
Mystery Frog Man
6B+. You graded this problem 6B+.
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/(*)(*)FAKE.png
30 May 23,"KEMAL'S VAR
Garry Williams
7A. You graded this problem 7A.
Feet follow hands
Project (3)
40° MoonBoard",./images/KEMAL'S_VAR.png
30 May 23,"POGO
luke hutcheson
7A. You graded this problem 7A.
Feet follow hands
Project (3)
40° MoonBoard",./images/POGO.png
27 May 23,"MOONING
levi jackson
6C. You graded this problem 6C.
Feet follow hands
Project (3)
40° MoonBoard",./images/MOONING.png
27 May 23,"REMO
Riccardo Caprasecca
6B+. You graded this problem 6B+.
Feet follow hands
Project (2)
40° MoonBoard",./images/REMO.png
27 May 23,"MOONWARS MILLENNIUMFALCON
Stefano Ghisolfi
6C. You graded this problem 6C.
Feet follow hands
You rated this problem
3rd try
40° MoonBoard",./images/MOONWARS_MILLENNIUMFALCON.png
20 May 23,"EASY DOES IT
Reuben Mardan
6B+. You graded this problem 6B+.
Feet follow hands
Project (3)
40° MoonBoard",./images/EASY_DOES_IT.png
20 May 23,"CIAO BAMBINO
Krzysztof Lewko
6B+. You graded this problem 6B+.
Feet follow hands
You rated this problem
2nd try
40° MoonBoard",./images/CIAO_BAMBINO.png
18 May 23,"TBA WARMUP 1
Luis Rodriguez
6B+. You graded this problem 6B+.
Feet follow hands
You rated this problem
2nd try
40° MoonBoard",./images/TBA_WARMUP_1.png
18 May 23,"DR. PINCH
Alex Distefano
6B+. You graded this problem 6B+.
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/DR._PINCH.png
09 May 23,"APOLOTE BITE
lairadelasrocas
6B+. You graded this problem 6B+.
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/APOLOTE_BITE.png
09 May 23,"UH-HUH WRONG
danhult
6B+. You graded this problem 6B+.
Feet follow hands
Project (3)
40° MoonBoard",./images/UH-HUH_WRONG.png
07 May 23,"TRAINING WHEEL
Andrew
6B+. You graded this problem 6B+.
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/TRAINING_WHEEL.png
07 May 23,"IUGIN
Alex Zonato
6B+. You graded this problem 6B+.
Feet follow hands
You rated this problem
2nd try
40° MoonBoard",./images/IUGIN.png
07 May 23,"COSMIC EASY
Mike Shewring
6B+. You graded this problem 6B+.
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/COSMIC_EASY.png
07 May 23,"MIKE AND THE GIRLS
9 degrees
6B+. You graded this problem 6B+.
Feet follow hands
You rated this problem
2nd try
40° MoonBoard",./images/MIKE_AND_THE_GIRLS.png
07 May 23,"POPIFRESCO
JAVIERMENG
6B+. You graded this problem 6B+.
Feet follow hands
You rated this problem
2nd try
40° MoonBoard",./images/POPIFRESCO.png
07 May 23,"PENGUIN’S DANCE
Vince Phong
6B+. You graded this problem 6B+.
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/PENGUIN’S_DANCE.png
07 May 23,"BUILD A BEAR
Keithy
6B+. You graded this problem 6B+.
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/BUILD_A_BEAR.png
07 May 23,"ONE UPPER
Brendan Leader
6B+. You graded this problem 6B+.
Feet follow hands
You rated this problem
2nd try
40° MoonBoard",./images/ONE_UPPER.png
06 May 23,"CRUISER
Kilgour22
6B+. You graded this problem 6B+.
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/CRUISER.png
06 May 23,"ENTRY EXAM
Jstar
6B+. You graded this problem 6B+.
Feet follow hands
You rated this problem
more than 3 tries (4)
40° MoonBoard",./images/ENTRY_EXAM.png
06 May 23,"SISÚ
edu moya
6C. You graded this problem 6C.
Feet follow hands
You rated this problem
3rd try
40° MoonBoard",./images/SISÚ.png
18 Apr 23,"GRIFETE HANDS
edu moya
6C. You graded this problem 6C.
Feet follow hands
Project (3)
40° MoonBoard",./images/GRIFETE_HANDS.png
